354269	West Japan Railway Company
4146[0-9][0-9]	Urban Trust Bank
414711	Citibank (American Airlines) Visa Signature Credit Card
414716	Bank of America (US)
414718	Wells Fargo Bank 1-800-228-1122
414720	Chase (US, formerly Bank One)
414740	Chase
4147463	Citibank (SG)
4147464	Citibank (SG)
4147808	US Bank
414840	Chase
414950	OJSC RAIFFEISEN BANK AVAL (UA)
414951	OJSC RAIFFEISEN BANK AVAL (UA)
414983	Plumas Bank (California, US)
415045	Kredyt Bank Visa Business Electron (Poland)
415055	Le Cr?dit Lyonnais, France
415231	Bancomer Debit Card
4153[0-9][0-9]	Visa Platinum Japan
415461	Raiffeisen Bank (CZ)
415786	Fifth and Third Bank
415874	TD Bank (USA)
415929	Cahoot (UK)
415981	Sovereign Bank
416039	ING Bank ?l?ski (PL)
416451	Fortis Bank (PL)
416724	Wells Fargo Bank Debit Visa USA
4166[0-9][0-9]	Kotak Mahindra Bank Gold Credit Card
416896	Inteligo (PL)
417008	Bank of America (USA; Formerly Fleet)
417009	Bank of America (USA; Formerly Fleet)
417010	Bank of America (USA; Formerly Fleet)
417011	Bank of America (USA; Formerly Fleet)
4172[0-9][0-9]	Cr?dit Populaire d'Alg?rie (CPA), Algeria
4177[0-9][0-9]	BC "Moldindconbank" S.A (Moldova)- Visa Electron
417935	Visa Electron
417968	Visa credit card
418122	National Development Bank Visa prepaid (Sri Lanka)
418169	CitiBank China Rewards (US Dollars Card)
418221	TD Bank in the United States
418224	New Zealand Post (NZ)
418236	Korea Exchange Bank
418238	UOB (SG)
418370	Green Dot Prepaid Visa debit card
4185[0-9][0-9]	Washington Mutual (US)
418850	Italy (Italy)
41900	U.S. Bank (US) WorldPerks VISA Credit Card
419661	DongA Bank Vietnam
419672	MetaBank
41974[0-1]	Visa Electron
41977[3-6]	Visa Electron
420567	Volkswagen Bank direct VISA Credit Card (Germany) 67
420571	Forex Bank Visa Credit Card Sweden
420719	US Bank debit card.
420767	Chase VISA debit card
420792	Banque Invik Everywhere Money prepaid debit Visa Electron card (LU/SE)
420841	Banque Invik Visa debit card
420984	Bank of Lee's Summit, VISA Debit
4213[0-9][0-9]	China Minsheng Bank VISA Debit Card; Landesbank Berlin Xbox Live VISA Prepaid Card (Germany)
421323	ICICI Bank visa Gold Debit/ATM Card (India)
421324	IndusInd Bank Debit Card (India)
421325	UTI Bank Prepaid Visa Card
421337	Allahabad Bank Debit Card, India
421338	Chequera Debit Card City (El Salvador)
421355	Interbank
421402	Citizens Bank of Canada/Vancouver City Savings Credit Union Visa Gift Card
421420	BC Card Check Card issued by Woori Bank
421458	Canara Bank
421473	ING Direct (Spain) Visa Debit Card
421494	Asia Commercial Bank Vietnam
4216[0-9][0-9]	Debit Card Suruga bank (Japan)
421630	ICICI Bank Visa Gold debit/ATM Card (India)
421689	Commercial Bank, Sri Lanka
42176[4-6]	Bank of America VISA Debit Card
4218[0-9][0-9]	China Minsheng Banking Corporation VISA Credit Card
422050	SAMBIL MALL Servitebca Visa Prepaid Card (Issued by Venezolano de Credito).
422061	Banco Santander (Brasil) S.A.
422127	Standard Chartered Bank (Nigeria) Visa Platinum Debit Card
422189	GE Money (PL)
422287	Raiffeisen bank (Russia), Visa Classic
422629	HSBC Bank (Turkey) VISA Credit Card
422695	Chase Bank (British Airways) Visa Signature Credit Card
422699	Pro Credit Bank Ltd, Kosovo, VISA
422727	Citibank Korea BC VISA Check Card
422833	o2 money card (managed by Natwest) Prepay card
423347	Patelco Credit Union
4238[0-9][0-9]	Members Credit Union Visa Debit
42383701	Sampopank (Estonia), Visa Premier
42383702	Sampopank (Estonia), Visa Gold
423953	St George Bank Visa Debit (Australia)
423966	Suffolk County National Bank Visa Debit (NY)
4241[0-9][0-9]	Silverton Bank (Gift Card)
4241[0-9][0-9]	Visa Signature credit card, Scotibank Per?
424201	Landesbank Baden-W?rttemberg Payback Premium
424327	Skandiabanken Visa Credit Card (NO)
424339	Skandiabanken Betal & Kreditkort Visa credit card (SE)
424395	Luottokunta Visa Gold (FI)
424604	US Bank USA GOVT VISA Procurment Card
424631	Chase Bank USA VISA Business Credit Card
424671	Ing Bank Slaski SA (Poland)
4251[0-9][0-9]	Fidelity Debit Card issued by PNC
42543[5-6]	Washington Mutual (formerly Fleet) VISA Debit Card
425522	Columbus Bank and Trust, AVS=866-443-6669
4256[0-9][0-9]	Bank of America GM Visa Check Card / US Airways Dividend Miles Visa Debit Card
425569	Trade Bank of Iraq
4257[0-9][0-9]	Barclaycard Commercial
4259[0-9][0-9]	Banco BICE (Chile) Gold Visa Credit Card
42590[7-8]	Wells Fargo Business Platinum Check Visa Card
425914	Compass Bank, Visa, Business Platinum Check Card, Debit
426140	BM Bank (UA)
426354	Comdirect Bank (Germany) Visa Credit Card, Natwest UK Visa
426376	Standard Chartered Bank Bangladesh
426393	Natwest UK Visa Credit card
42642[8-9]	Bank of America (formerly MBNA) Platinum Visa Credit Card
42645[1-2]	Bank of America (formerly MBNA) Platinum Visa Credit Card
426465	Bank of America (formerly MBNA) Platinum Visa Credit Card
426488	Code Credit Union (Dayton, Ohio)
426501	HHonors Platinum Visa Credit Card (Barclaycard)
426502	RISE Visa credit card issued by R Raphael & Sons (UK)
426503	shout Visa credit card issued by R Raphael & Sons (UK)
426510	Solutions Finance Credit Card (Barclaycard)
426534	Citibank Australia Visa Platinum Card
42655[6-8]	HSBC Bank VISA Credit Card (Australia)
426588	UOB Platinum Visa Credit Card (Singapore)
426569	CitiBank Platinum Visa Credit Card (Singapore)
426579	Bank Of Ayudhya Visa Debit Card (Thailand)
426638	Nordstrom FSB Classic Visa Credit Card
42665[5-6]	Chase (formerly Bank One) Visa Credit Card
426684	CAPITAL ONE BANK Credit Card
426684	Countrywide Visa Credit Card (2008)
426684	Chase +1 Student Visa Card (2008)
426692	Capital One
426698	First Command Financial Planning, Inc.
427010	Industrial and Commercial Bank of China Visa Credit Card
427019	Industrial and Commercial Bank of China Visa Credit Card
427020	Industrial and Commercial Bank of China Visa Credit Card
427028	Industrial and Commercial Bank of China Visa Credit Card
427029	Industrial and Commercial Bank of China Visa Credit Card
427030	Industrial and Commercial Bank of China Visa Credit Card
427038	Industrial and Commercial Bank of China Visa Credit Card
427039	Industrial and Commercial Bank of China Visa Credit Card
427062	Industrial and Commercial Bank of China Visa Credit Card
427064	Industrial and Commercial Bank of China Visa Credit Card
427085	Industrial and Commercial Bank of China Visa Credit Card
427208	Mercedes Benz Bank
427229	VTB24 (Russia), Visa Classic (Un)embossed
427342	Lloyds TSB Business Debit Card
427557	RBC Centura Bank Visa Debit Card (Pocket Check Card)
4276[0-9][0-9]	Sberbank of Russia, Visa Classic/Electron
427741	Santander Consumer Bank
427760	Citibank, Russia
427843	Alamzergienbank, Russia, Visa Classic
4279[0-9][0-9]	Sberbank of Russia, Visa Gold
4282[0-9][0-9]	Landesbank Berlin (Germany) Visa Credit Card
4284[0-9][0-9]	Standard Chartered Bank (Platinum), Sri Lanka
428208	Chase Debit Visa
4289150	BRE Bank (MultiBank) Visa Platinum Credit Card (Poland)
4289151	BRE Bank (MultiBank) Visa Aquarius (Black) Credit Card (Poland)
428332	Maybank-issued Maybankard Visa Debit Card (Malaysia)
428333	Prezzy card (New Zealand Post)
428418	ASB Bank (New Zealand) Visa Debit Card
428434	Citizens Bank of Canada (Canada) Prepaid Visa Gift Card
428454	Kiwibank (New Zealand) Visa Debit Card
429158	Bank of Moscow (Russia) Visa Electron Social Security Card
429420	Digital Federal Credit Union (DCU) Visa Check Card
429475	Regions Bank Visa Debit Card
429531	Scott Credit Union, Visa Debit Card
429805	First National Bank of Omaha and affiliate Visa Debit Cards
429812	First National Bank of Omaha and affiliate Visa Debit Cards
430092	Standard Chartered Platinum VISA Credit Card (Singapore)
4301[0-9][0-9]	Chase Visa
430252	Bank of Cyprus Greece Prepaid Visa
4304[0-9][0-9]	Barclays Bank Plc
430536	Bank of America (formerly Fleet) Visa Credit Card
430544	Bank of America (formerly Fleet) Visa Credit Card
430546	Bank of America (formerly Fleet) Visa Credit Card
430550	Bank of America (formerly Fleet) Visa Credit Card
430594	Bank of America (formerly Fleet) Visa Credit Card
430552	Summit Federal Credit Union Visa Debit Card
430567	Tesco Bank Classic Visa
430586	Pennsylvania State Employees' Credit Union Check Card
430605	Affinity Plus Federal Credit Union Debit Card (USA)
430679	PenFed Credit Union (USA)
430763	Wells Fargo Debit (USA)
4308[0-9][0-9]	Macys Visa
4311[0-9][0-9]	National City Bank Visa Credit Card
431170	Rizal Commercial Banking Corporation Visa Credit Card (PH)
431178	Citibank Taiwan (TW)
4312[0-9][0-9]	Chase Leisure Rewards Visa Business Debit/Check Card
431239	Citibank Australia VISA Debit Card (AU)
431261	IWBank Visa
431262	IWBank Visa Electron
43130[1-5]	Wells Fargo Bank Preferred Visa & Visa Signature Credit Cards
43130[7-8]	Wells Fargo Bank Preferred Visa & Visa Signature Credit Cards
431406	Visa Card, USA
431500	Visa Card Wachovia / Wells Fargo (USA)
4315[0-9][0-9]	Silverton Bank NA (closed in 2009)
431732	Plains Commerce, (Total Visa), Small Credit Limit, Credit Repair Card
431784	China Construction Bank (Asia) VISA Platinum Credit Card (Hong Kong)
4318[0-9][0-9]	S-Bank Visa
431930	Halifax Ireland VISA Debit card
43193[1-2]	Ulster Bank VISA Debit Card, Republic of Ireland
431935	Permanent TSB VISA Debit Card, Republic of Ireland
431940	Bank of Ireland VISA Debit Card, Republic of Ireland
431949	Bank of Ireland VISA Credit Card, Republic of Ireland
431947	Allied Irish Banks VISA Debit Card, Republic of Ireland
4321[0-9][0-9]	Citizens Bank of Canada/Vancouver City Savings Credit Union Visa Gift Card
432158	BA Finance/Credit Europe bank (Russia), Visa Classic "Auchan" card
4323[0-9][0-9]	Wells Fargo Visa check card
43262[4-9]	Bank of America (formerly Fleet National Bank) Visa Check Card, Debit
432630	Bank of America (formerly Fleet National Bank) Visa Check Card, Debit
4327[0-9][0-9]	North Carolina State Employees' Credit Union VISA Check Card
432732	Metabank Debit Card
432845	Sovereign Bank Check Card
432901	BRE Bank (MultiBank) Visa Classic Aquarius PayWawe Debit Card (Poland)
432919	Cartasi Eura Visa Electron (Italy)
432937	BRE Bank (MultiBank) Visa Electron Aquarius Debit Card (Poland)
4329386	BRE Bank (MultiBank) Visa Classic Aquarius Debit Card (Poland)
4329387	BRE Bank (MultiBank) Visa Classic Debit Card (Poland)
432995	TCF Visa Debit Card (USA)
433388	Citibank Credit Card (Hong Kong)
433445	BBVA Puerto Rico
433507	MBNA
433687	National Australia Bank Business Payments Visa Business Card
433948	Barclays & Times Card Visa Gold Credit Card (India)
433950	Barclays & Yatra.com Platinum Credit Card (India)
433991	Palm Desert National Bank as Cingular Wireless' rebate debit card
4342[0-9][0-9]	Bank of America Classic Visa Credit Card
434254	Best Bank
434255	Bank of America
434256	Wells Fargo Debit
434257	Wells Fargo Debit
434258	Wells Fargo Debit
4343[0-9][0-9]	First Interstate Bank Visa Credit Card
4344[0-9][0-9]	Landesbank Berlin Holding Visa Credit Card (Amazon.de Credit Card)
434493	Visa Gift Card
4346[0-9][0-9]	Santander Consumer Bank AS (formerly Bankia Bank ASA)
4349[0-9][0-9]	Chase Card Services Canada Marriott Rewards Platinum Visa Card
435225	Nordea Bank Visa Electron Debit Card (Poland)
435237	Target Visa Card
4355[0-9][0-9]	U.S. Bank Premiere Line Visa Card
4356[0-9][0-9]	Target Corporation Visa Credit Card
4356[0-9][0-9]	Bank of America Visa Debit Card
4356[8-9][0-9]	Bank of America, Visa, Platinum Check Card, Debit
435744	ShenZhen Development Bank, Visa, Classic, Credit (China)
435760	Compass Bank, Visa, Business Check Card, Debit
435899	Gift card, U.S. Bank N.A., Metabank
436501	CitiBank (Malaysia)
436802	Visa Pre Paid US
436338	Landesbank Berlin AG (ADAC VISA Gold)
43661[07]	Chase (formerly First USA)
436667	Chase (formerly First USA)
436618	U.S. Bank Visa debit card
4367[0-9][0-9]	China Construction Bank Credit Card
436742	China Construction Bank Debit Card
436773	National Bank of New Zealand Visa Credit Card
4377[0-9][0-9]	Panin Bank
437737	Barclay Debit Card (India)
437748	SBI Cards credit card (India)
4380[0-9][0-9]	Bank of China Olympics Visa Credit Card
438088	Bank of China Visa Unionpay Gold Credit Card
4382[0-9][0-9]	UOB Campus Visa Debit Card (Singapore)
4384[0-9][0-9]	HSBC Visa Credit Card (India)
438437	Bank of East Asia VISA Platinum Credit Card (Hong Kong)
438617	China Construction Bank (Asia) Finance Credit Card
438676	Shinhan Card VISA Platinum Card
438755	San Diego County Credit Union Visa Card
4388[0-9][0-9]	Capital One Visa Credit Card
438857	Chase Bank (United Airlines) Visa credit card
4390[0-9][0-9]	ChequeMax (El Salvador)
4391[0-9][0-9]	Krungthai Bank
439188	China Merchants Bank
43922[5-7]	China Merchants Bank Visa Credit Card
439239	Suncorp Bank Australia Visa Credit Card
440025	BC card Check card issued by Hana SK Card
440210	Citibank Handlowy (PL)
440211	Citibank Handlowy (PL)
440260	Allied Irish Banks "Click" Visa Card
440318	Fidelity Rewards Visa Signature (issued by FIA Card Services)
440319	Schwab Bank Invest First Visa Signature
440396	Home Trust Company (Canada)
4404[0-9][0-9]	(UBP-php)
4405[0-9][0-9]	Latvijas Kr?jbanka (LV)
440626	Slovensk? sporite??a Visa Electron
440752	?SOB (CZ)
440753	?SOB (CZ)
440783	Co-operative Bank (KE)
4408[0-9][0-9]	Chase (AARP)
441104	Chase Debit Card
441297	First Bankcard (US)
4412	Deutsche Bank (DE) Gold Credit Card
441709	MetaBank Visa Gift Card
441712	First USA Bank, N.A.
441822	1st National Bank of Omaha
442162	MBNA EUROPE BANK LIMITED Classic Visa Credit Card
442261	Banco Santander (Brasil) S.A.
442394	Hong Kong Standard Chartered Bank Priority Banking Visa Infinite Credit Card
442518	Wells Fargo Platinum Visa
442729	China CITIC Bank Gold Visa Debit Card
442730	China CITIC Bank Platinum Visa Debit Card
442742	JP Morgan business visa debit card
442790	Citizens Bank (RBS) Platinum Visa Debit Card
4428[0-9][0-9]	BECU Visa
442860	VISA CARD, The Security National Bank & Trust Company of Norman
4430[0-9][0-9]	PNC Bank (Debit Card) (former National City Debit)
443060	PNC Bank
443084	Hume Building Society
4435[0-9][0-9]	Banner Bank VISA (Debit Card)
4432[0-9][0-9]	U.S. Bank
443233	Shinhan Card (former LG Card)
443420	Teachers Mutual Bank Visa Debit card
443438	Credit Union Australia
443464	Five Star Bank
443469	Police and Nurses Credit Union Debit Visa(Aust)
4436[0-9][0-9]	PNC Bank Visa Points
444238	SMP bank (Russia) Visa Classic
444400	First US Bank
444512	Fifth Third Bank
444796	VISA CREDIT CARD, Credit One Bank,N.A.
445093	HSBC Vietnam
445094	HSBC Vietnam
4451[0-9][0-9]	First Tennessee Bank (USA) VISA Debit Card
445479	Keytrade Bank Visa Classic Credit Card
445480	Keytrade Bank Visa Gold Credit Card
445785	CREDIT Union Card Services, INC, Debit, Prepaid, Visa (United States)
4458[0-9][0-9]	Nationwide Building Society (UK)
446053	Prepaid card, US Bank Visa Classic Debit Card USA
446106	MetaBank Visa Debit USA
446153	BRE Bank (CZ)
446155	BRE Bank (CZ)
446157	BRE Bank (PL)
446157	BRE Bank (CZ)
446158	BRE Bank (PL)
446261	Lloyds TSB (UK)
446268	Cahoot (UK)
446272	Lloyds TSB (UK)
446274	Lloyds TSB (UK)
446277	Abbey (bank)
446278	Halifax (UK)
446279	Bank of Scotland (UK)
446291	Halifax (UK)
4465[0-9][0-9]	Wells Fargo (USA)
446867	Banco de Chile (Chile)
4470[0-9][0-9]	M&I Marshall & Ilsley Bank (USA)
447211	HSBC
447320	BC VISA Check Card issued by Woori Bank
447452	Union Bank & Trust Company Visa debit card
447692	HSBC India Visa Silver Credit Card (India)
447746	ICICI Bank credit card (India)
447747	ICICI Bank Visa Gold Credit Card (India)
447817	Promsvyazbank, Russia
4479[0-9][0-9]	TCF Bank Debit Card
447935	National City Bank Visa Debit Card
447994	GAP Visa Credit Card (issued by GE Capital Retail Bank)
447995	Old Navy Visa Credit Card
448027	Cuaranty Bank (United States)- Classic, Debit, Visa
4481[0-9][0-9]	BC Card VISA Check Card
448125	BC Card VISA Check Card issued by Hana SK Card
448156	Chase Bank / MyECount.com Sprint Wireless' rebate debit card
4482[0-9][0-9]	TD Bank
448336	mBank (PL)
448336	BRE Bank (PL)
448360	Getin Noble Bank Visa Electron Debit Card (OpenFinance.PL) (Poland)
448445	Lloyds Bank
4486[0-9][0-9]	GSA SmartPay 2
4488[0-9][0-9]	Suntrust Bank
4489[0-9][0-9]	National City Bank Visa Debit Card (Credit Card?)
4490[0-9][0-9]	Community Trust Bank( Visa Debit Card)
4492[0-9][0-9]	Vista Federal Credit Union (Walt Disney World) Visa Debit Card
4493[0-9][0-9]	Nicu Dinu's Bank ( Cernavoda, Romania )
449352	Nationwide Building Society Visa Credit Card
449364	Valley Bank
449533	Bank of America (USA), National Association
449914	Shinhan Card check card from former LG Card
4500[0-9][0-9]	Canadian Imperial Bank of Commerce (CIBC) Visa & MBNA Quantum Visa Credit Cards
450003	CIBC Infinite Aerogold (VISA credit card)
450060	CIBC Aerogold (VISA credit card)
450065	CIBC Platinum (VISA credit card)
450198	MBNA UK-issued Visa Credit Card (inc. BMI airline card)
4502[0-9][0-9]	CIBC VISA
4503[0-9][0-9]	CIBC VISA
4504[0-9][0-9]	CIBC VISA
450405	?on Credit Service Credit Card
4505[0-9][0-9]	CIBC VISA
4506[0-9][0-9]	CIBC VISA Debit
4506[0-9][0-9]	Marfin Laiki Bank Visa Debit Card
450605	Bendigo Bank Visa Blue Debit Card
450634	Yap? ve Kredi Bankas? World Visa Debit Card
4507[0-9][0-9]	St George Bank Visa Debit Card
450722	Bank Islam Malaysia Berhad VISA Classic Credit Card-i (International)
450742	Landsbanki Visa Card (Iceland)
4508[0-9][0-9]	Visa Electron
450823	Lloyds TSB VISA
450875	Co-operative Bank Visa Debit Card (formerly Visa Electron)
450878	Banco de Chile Visa Credit Card
4509[0-9][0-9]	ANZ Bank Visa Credit Card
450979	Santander Rio Argentina
4510[0-9][0-9]	Royal Bank of Canada (CA)
4511[0-9][0-9]	Seylan Bank, Sri Lanka
4512[0-9][0-9]	Royal Bank of Canada (CA)
451291	Bank of China
4513[0-9][0-9]	Bancolombia (CB)
451368	Banco BCI Nova VISA Debito (Chile)
4514[0-9][0-9]	Royal Bank of Canada RBC AVION Visa (Platinum/Infinite)
451503	Royal Bank of Canada (CA)
4516[0-9][0-9]	RBC Banque Royale VISA BUSINESS (Affaires)
451811	Industrial and Commercial Bank of China Credit Card (China)
451834	DBS Bank Credit Card (Hong Kong)
451845	Shinhan Bank VISA Check Card
4519[0-9][0-9]	Royal Bank of Canada (CA)
4520[0-9][0-9]	TD Bank CAD VISA
452088	TD Bank CAD VISA infinite
4529[0-9][0-9]	MetaBank Visa
4530[0-9][0-9]	VISA Desjardins Group
453030	NAB Gold Affinity
453224	CBA Visa Awards Credit Card (Australia)
453231	Banco Mercantil Venezuela Visa Card
4535[0-9][0-9]	Scotiabank
4536[0-9][0-9]	Scotiabank
4537[0-9][0-9]	Scotiabank
4538[0-9][0-9]	Scotiabank
453801	ScotiaBank
453826	ScotiaBank
453893	GE Consumer Finance VISA Card
453904	Nordea (SE)
453925	Bank of Ireland
453978	Barclays Bank (UK)
453979	Barclays Bank (UK)
453980	permanent tsb Visa Credit Card
453997	Friulcassa / CartaSi (IT)
453998	CartaSi (IT)
